"Table. A-2. Results. J30 Dataset: Strategy 1, Strategy 2, Strategy 3. Time limit: 6000 sec.",,,,,,,,
Instance,Strategy 1,,Strategy 2,,,Strategy 3,,
,OFa,Timeb,OF,Time,Time_limg,OF,Time,Time_limg
j3010_3,26,0.332,25,1.301,,25,0.922,
j3012_7,27,0.226,27,0.585,,27,0.313,
j3012_9,22,0.477,22,0.7585,,22,0.422,
j3013_10,56,0.461,50,6000.461,Yes,49,327.562,
j3015_5,33,0.428,27,26.787,,27,4.047,
j3016_1,27,0.331,27,1.237,,27,0.625,
j3016_2,41,0.476,41,1.507,,41,0.703,
j3016_5,32,0.412,32,1.365,,31,0.891,
j3016_9,24,0.889,24,1.733,,24,0.625,
j3018_6,29,0.508,29,1.039,,25,0.328,
j3019_1,37,0.462,35,1.165,,35,0.281,
j3020_4,35,0.35,35,0.881,,35,0.484,
j3020_7,30,0.608,30,1.046,,30,0.375,
j3021_4,47,0.603,43,565.775,,43,425.938,
j3021_5,52,0.806,43,6000.806,Yes,43,6000,Yes
j3022_5,41,0.571,34,296.227,,34,27.328,
j3022_9,38,0.601,35,2.179,,34,0.828,
j3023_10,21,0.888,21,1.482,,21,0.781,
j3025_1,42,0.272,38,4.381,,38,4.75,
j3025_8,44,0.194,39,5.194,,39,6.703,
j3026_2,29,0.272,27,1.147,,27,0.734,
j3026_5,22,0.272,22,0.741,,22,0.531,
j3027_3,28,0.239,28,0.677,,28,0.297,
j3027_10,29,0.348,29,0.723,,29,0.344,
j3028_1,37,0.395,37,0.848,,37,0.297,
j3028_5,23,0.099,23,0.427,,23,0.297,
j3031_1,36,0.334,29,3.647,,29,1.141,
j3031_2,43,0.362,43,0.705,,43,0.688,
j3032_8,29,0.318,29,1.037,,29,0.828,
j3039_2,50,0.824,43,3.574,,43,3.844,
j3039_4,58,0.411,51,3.395,,51,3.781,
j3040_9,43,0.476,43,1.367,,43,1.141,
j3041_7,53,0.532,43,5.845,,45,4.001,
j3043_7,33,0.558,33,0.996,,33,0.594,
j3044_3,34,0.51,34,0.901,,34,0.719,
j3045_6,58,0.807,50,6000.807,Yes,51,6000,Yes
j3047_4,45,1.046,42,2.609,,42,2.437,
j3047_5,32,0.668,28,2.231,,28,1.828,
j3048_1,28,0.938,28,1.876,,28,1.344,
j3049_4,51,0.304,44,13.304,,44,7.578,
j3050_8,31,0.749,31,1.358,,29,1.391,
j3051_3,27,0.653,27,1.091,,27,0.781,
j3051_4,51,0.285,51,0.785,,51,0.422,
j3055_7,44,0.379,44,1.285,,44,0.828,
j3056_9,36,0.527,36,1.324,,33,0.953,
j3057_7,36,0.303,33,2.225,,33,2.719,
j3057_9,33,0.366,29,3.429,,29,2.141,
j3060_1,22,0.288,22,0.71,,22,0.438,
j3063_2,30,0.428,30,1.256,,30,0.922,
j3064_10,36,0.334,36,1.131,,36,0.813,
a: Objective Function value; b: Computational time; g: Wheter the time limit was reached,,,,,,,,
